symbol,sector,total_rows,years_of_data,avg_volume,annualized_volatility,data_quality_score,liquidity_score,volatility_score,price_stability_score,data_length_score,overall_score,missing_data_pct,max_date_gap_days,extreme_moves_count
BAC,Financials,2518,9.99,76193222,30.75,100.0,100.0,97.75,100,99.9,99.54,0.0,4,0
INTC,Technology,2518,9.99,29846613,30.84,100.0,100.0,97.49,100,99.9,99.49,0.0,4,0
AAPL,Technology,2518,9.99,171353978,29.08,100.0,100.0,97.23,100,99.9,99.44,0.0,4,0
AMZN,Consumer Discretionary,2518,9.99,80256170,32.61,100.0,100.0,92.17,100,99.9,98.42,0.0,4,0
GOOG,Technology,2518,9.99,39606891,27.11,100.0,100.0,91.34,100,99.9,98.26,0.0,4,0
MSFT,Technology,2518,9.99,32249446,27.05,100.0,100.0,91.16,100,99.9,98.22,0.0,4,0
XOM,Energy,2518,9.99,16523194,26.88,100.0,100.0,90.65,100,99.9,98.12,0.0,4,0
JPM,Financials,2518,9.99,15659187,26.85,100.0,100.0,90.55,100,99.9,98.1,0.0,4,0
DIS,Communication Services,2518,9.99,9422361,26.49,100.0,100.0,89.48,100,99.9,97.89,0.0,4,0
ATVI,Technology,2518,9.99,7665161,32.45,100.0,100.0,92.64,95,99.9,97.77,0.0,4,1
EA,Technology,2518,9.99,3508126,31.79,100.0,98.18,94.62,95,99.9,97.71,0.0,4,1
CSCO,Technology,2518,9.99,25494831,25.39,100.0,100.0,86.16,100,99.9,97.22,0.0,4,0
F,Consumer Discretionary,2518,9.99,48280132,33.77,100.0,100.0,88.68,95,99.9,96.98,0.0,4,1
CRM,Technology,2518,9.99,5848054,34.87,100.0,100.0,85.4,95,99.9,96.32,0.0,4,1
PFE,Healthcare,2518,9.99,28898585,22.09,100.0,100.0,76.28,100,99.9,95.25,0.0,4,0
T,Communication Services,2518,9.99,41601977,21.32,100.0,100.0,73.97,100,99.9,94.78,0.0,4,0
WMT,Consumer Staples,2518,9.99,8164516,20.57,100.0,100.0,71.72,100,99.9,94.34,0.0,4,0
MCD,Consumer Discretionary,2518,9.99,4278301,19.95,100.0,99.47,69.84,100,99.9,93.83,0.0,4,0
KO,Consumer Staples,2518,9.99,14311506,18.18,100.0,100.0,64.54,100,99.9,92.9,0.0,4,0
META,Technology,2518,9.99,29759171,38.11,100.0,100.0,75.67,85,99.9,92.87,0.0,4,3
PYPL,Technology,1887,7.48,9701337,38.75,100.0,100.0,73.75,95,74.83,91.48,0.0,4,1
NVDA,Technology,2518,9.99,44631621,44.28,100.0,100.0,57.17,95,99.9,90.68,0.0,4,1
BABA,Consumer Discretionary,2030,8.06,18682940,42.07,100.0,100.0,63.8,95,80.57,90.07,0.0,4,1
MTCH,Technology,2518,9.99,2789955,44.51,100.0,96.68,56.48,90,99.9,88.96,0.0,4,2
NFLX,Communication Services,2518,9.99,12594880,47.76,100.0,100.0,46.72,80,99.9,86.34,0.0,4,4
TSLA,Consumer Discretionary,2518,9.99,112096042,57.18,100.0,100.0,18.46,90,99.9,82.18,0.0,4,2
AMD,Technology,2518,9.99,51318071,58.42,100.0,100.0,14.74,90,99.9,81.44,0.0,4,2
ZG,Real Estate,2518,9.99,1746387,54.4,100.0,93.63,26.8,75,99.9,80.01,0.0,4,5
YELP,Technology,2518,9.99,2119435,54.87,100.0,94.89,25.39,45,99.9,75.54,0.0,4,11
TTD,Technology,1580,6.27,10631396,72.81,100.0,100.0,0.0,55,62.7,69.52,0.0,4,9
